title,description,url,text_clean
River Dee search: Boy missing after going swimming,The teenager disappeared after going swimming in the River Dee in Cheshire.,https://www.bbc.co.uk/news/uk-england-merseyside-57935520,"['river', 'dee', 'search', 'boy', 'missing', 'going', 'teenager', 'disappeared', 'going', 'swimming', 'river', 'dee', 'cheshire']"
Channel crossings: Hundreds more migrants cross to UK,The government said a surge in illegal migration across Europe had seen a rise in crossings.,https://www.bbc.co.uk/news/uk-england-kent-57937202,"['channel', 'crossings', 'hundreds', 'migrants', 'cross', 'government', 'said', 'surge', 'illegal', 'migration', 'across', 'europe', 'seen', 'rise', 'crossings']"
Australia v West Indies: One-day international suspended after toss because of positive Covid case,The second one-day international between Australia and West Indies has been called off after the toss because of a positive Covid-19 case.,https://www.bbc.co.uk/sport/cricket/57934264,"['australia', 'v', 'west', 'indies', 'international', 'suspended', 'toss', 'positive', 'covid', 'second', 'international', 'australia', 'west', 'indies', 'called', 'toss', 'positive', 'case']"
Evian Championship: Pajaree Anannarukarn and Yealimi Noh lead after first round,Thailand's Pajaree Anannarukarn and America's Yealimi Noh lead the Evian Championship after the opening round.,https://www.bbc.co.uk/sport/golf/57936779,"['evian', 'championship', 'pajaree', 'anannarukarn', 'yealimi', 'noh', 'lead', 'first', 'pajaree', 'anannarukarn', 'america', 'yealimi', 'noh', 'lead', 'evian', 'championship', 'opening', 'round']"
Greensill: Top official's widow hits out at lobbying report,"Lord Heywood is 'scapegoated' by a report looking at the role of Australian financier Lex Greensill, she says.",https://www.bbc.co.uk/news/uk-politics-57933130,"['greensill', 'top', 'official', 'widow', 'hits', 'lobbying', 'heywood', 'report', 'looking', 'role', 'australian', 'financier', 'lex', 'greensill', 'says']"
The Hundred - Oval Invincibles v Manchester Originals: Curran nutmegs himself,Oval Invincibles' Tom Curran nutmegs himself with a shot through his own legs against the Manchester Originals in the opening men's game of The Hundred.,https://www.bbc.co.uk/sport/av/cricket/57937056,"['hundred', 'oval', 'invincibles', 'v', 'manchester', 'originals', 'curran', 'nutmegs', 'invincibles', 'tom', 'curran', 'nutmegs', 'shot', 'legs', 'manchester', 'originals', 'opening', 'men', 'game', 'hundred']"
Heatwave: Temperatures soar as Wales basks in hottest day of 2021,Wales recorded its hottest day of the year as four-day extreme heat warning ends.,https://www.bbc.co.uk/news/uk-wales-57934070,"['heatwave', 'temperatures', 'soar', 'wales', 'basks', 'hottest', 'day', 'recorded', 'hottest', 'day', 'year', 'extreme', 'heat', 'warning', 'ends']"
Chelsea cancel friendly with Drogheda after 'possible positive Covid case',"Chelsea cancel Thursday's planned pre-season game with Irish side Drogheda after identifying a ""possible positive Covid case"".",https://www.bbc.co.uk/sport/football/57934262,"['chelsea', 'cancel', 'friendly', 'drogheda', 'positive', 'covid', 'cancel', 'thursday', 'planned', 'game', 'irish', 'side', 'drogheda', 'identifying', 'possible', 'positive', 'covid', 'case']"
2021/07/22 19:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bjhfy,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
"One-Day Cup: Durham score 405 in Kent win while Stoneman, Westley & Godleman impress","Durham break records while Essex, Glamorgan, Leicestershire and Surrey start their One-Day Cup campaigns with wins.",https://www.bbc.co.uk/sport/cricket/57933259,"['cup', 'durham', 'score', 'kent', 'win', 'stoneman', 'westley', 'godleman', 'break', 'records', 'essex', 'glamorgan', 'leicestershire', 'surrey', 'start', 'cup', 'campaigns', 'wins']"
